Venda_ID,Loja_ID,Produto_ID,Cliente_ID,Colaborador_ID,Quantidade,Preço Unitário,Data da Venda,Canal de Venda
115,540,33,803,462,39,594.66,2016-09-06 01:47:20,Física
116,513,760,461,132,80,915.51,2014-01-01 16:00:51,Física
117,904,344,783,280,41,425.52,2016-10-09 23:33:46,Online
118,301,643,514,270,86,107.16,2019-09-03 17:44:38,Online
119,317,216,758,440,51,251.65,2018-06-23 16:43:53,Online
120,431,306,959,473,86,838.16,2018-11-24 08:37:54,Física
121,520,276,241,173,4,789.46,2021-03-20 02:23:26,Física
122,935,993,268,56,71,623.63,2019-11-25 18:39:37,Online
123,276,656,272,371,26,932.77,2021-07-12 18:27:24,Física
124,274,1,694,325,78,605.02,2017-04-17 02:00:20,Online
125,443,7,3,343,60,963.21,2014-07-03 01:46:36,Física
126,638,972,347,500,68,191.59,2015-03-26 11:27:03,Online
127,214,908,412,132,86,880.66,2015-12-18 21:34:24,Física
128,768,590,312,469,22,709.24,2017-03-30 01:36:56,Física
129,50,731,491,365,93,812.95,2016-05-11 21:44:49,Física
130,948,209,578,206,60,710.88,2015-07-17 22:50:22,Online
131,138,749,121,318,91,624.64,2020-10-10 21:15:34,Física
132,171,822,61,64,65,154.22,2015-02-07 00:31:39,Online
133,247,151,477,144,69,390.54,2018-06-21 07:07:47,Física
134,556,292,830,464,47,303.97,2018-11-19 00:10:22,Online
135,323,614,417,275,31,551.84,2014-04-08 22:05:20,Online
136,902,347,295,111,81,386.97,2018-08-30 12:49:19,Online
137,152,378,914,233,26,520.48,2017-11-01 11:14:05,Física
138,550,686,930,417,99,278.78,2017-01-18 20:10:50,Online
139,662,120,193,183,80,157.41,2019-01-13 02:13:45,Online
140,981,671,170,242,93,824.14,2015-09-23 07:09:26,Online
141,4,540,545,451,38,663.17,2021-04-25 15:33:57,Física
142,749,816,801,356,22,182.11,2014-04-01 21:06:58,Física
143,259,859,503,57,72,283.2,2021-12-13 13:28:12,Online
144,93,191,411,125,91,363.86,2020-09-15 13:05:24,Física
145,962,770,509,258,82,280.98,2017-09-30 10:02:19,Online
146,732,502,648,63,48,896.11,2020-11-04 06:29:15,Física
147,666,421,214,343,100,906.99,2015-10-24 19:23:41,Física
148,678,741,3,68,85,848.69,2017-07-15 23:38:35,Física
149,435,701,335,74,79,77.56,2015-06-01 19:54:11,Física
150,561,412,348,287,69,790.34,2018-08-24 02:24:20,Online
151,994,999,870,90,80,412.65,2015-06-05 22:12:25,Física
152,582,524,491,60,47,499.53,2016-09-22 16:15:02,Online
153,797,896,546,259,82,811.18,2017-06-23 05:07:56,Física
154,971,760,656,261,32,589.77,2014-06-18 10:29:34,Física
155,649,178,896,152,52,459.13,2016-04-16 12:54:37,Física
156,856,414,987,418,72,338.62,2020-10-10 04:27:53,Online
157,959,54,180,6,5,759.03,2020-10-25 05:05:34,Online
158,846,730,591,279,51,42.99,2016-05-15 00:34:14,Online
159,247,489,15,24,85,565.12,2019-07-16 19:18:42,Física
160,565,400,255,405,38,67.6,2019-07-16 15:04:28,Física
161,876,884,238,277,67,516.56,2020-03-06 23:27:17,Online
162,796,200,433,10,86,430.01,2014-11-09 07:22:38,Física
163,161,170,647,270,89,415.8,2016-08-02 02:53:05,Física
164,11,135,149,424,57,880.07,2014-07-10 02:12:20,Online
165,578,309,435,287,8,745.93,2015-08-11 08:20:47,Online
166,709,167,824,226,61,630.97,2021-05-13 13:35:51,Física
167,44,887,398,391,26,76.19,2014-06-26 05:24:07,Online
168,792,980,10,147,82,769.05,2018-08-08 01:51:22,Física
169,769,190,925,276,23,667.06,2016-02-25 19:38:50,Física
170,380,30,408,201,73,758.79,2021-08-05 19:13:51,Online
171,309,148,981,176,2,590.51,2019-03-02 07:35:19,Física
172,718,916,836,363,27,607.82,2015-09-08 11:27:01,Online
173,981,524,325,282,29,821.34,2020-09-28 18:01:44,Online
174,176,26,415,372,33,95.24,2016-11-19 13:22:13,Online
175,815,574,17,223,77,4.07,2015-11-25 07:48:28,Física
176,238,616,166,174,38,74.89,2018-03-01 09:57:56,Online
177,917,702,709,333,62,752.86,2014-05-24 09:21:35,Online
178,806,491,970,270,39,2.79,2021-11-28 14:03:14,Online
179,270,799,104,294,22,833.17,2018-02-05 05:07:21,Física
180,687,404,808,287,93,490.91,2015-01-04 10:12:01,Física
181,989,774,104,441,35,568.95,2015-06-22 12:06:13,Física
182,406,56,823,331,69,372.62,2016-12-13 02:30:38,Física
183,144,24,491,247,4,457.05,2014-01-17 06:59:45,Online
184,421,484,445,43,47,457.94,2019-01-17 08:13:14,Física
185,900,893,677,123,13,417.06,2021-01-15 16:55:48,Física
186,204,856,339,474,94,804.56,2020-08-13 05:09:57,Online
187,819,678,16,477,50,614.57,2018-09-30 04:28:46,Física
188,234,805,876,474,14,352.57,2014-05-21 14:07:28,Física
189,313,913,928,313,74,366.1,2018-11-22 06:33:04,Física
190,827,574,649,204,86,835.09,2014-07-11 05:20:32,Física
191,304,160,517,351,73,427.88,2019-04-21 17:09:18,Online
192,473,322,599,9,46,344.56,2018-11-20 00:04:23,Online
193,619,186,985,341,50,543.84,2020-11-14 18:54:05,Física
194,774,514,148,365,43,850.3,2021-05-27 00:10:24,Física
195,255,988,414,341,9,414.15,2017-10-14 12:32:33,Física
196,721,666,147,163,48,560.05,2015-09-26 04:18:17,Online
197,735,520,995,159,75,262.91,2020-04-29 23:39:18,Online
198,759,443,861,86,85,721.22,2019-10-28 18:17:27,Física
199,321,963,232,493,90,645.21,2019-05-18 18:41:08,Online
200,815,651,249,283,32,989.91,2021-05-14 16:49:03,Física
201,972,597,514,367,9,275.22,2014-05-26 21:19:17,Online
202,456,985,554,451,39,139.43,2017-09-02 15:43:35,Física
203,320,597,312,84,43,229.27,2020-02-01 08:16:03,Online
204,784,654,813,352,32,410.02,2016-01-31 20:57:42,Online
205,699,649,971,413,42,2.44,2016-09-19 05:20:16,Online
206,196,332,695,109,47,847.1,2019-09-09 11:36:18,Online
207,290,77,344,415,81,755.62,2017-12-12 11:06:57,Online
208,245,813,208,242,31,195.82,2014-09-05 10:10:51,Online
209,822,564,232,389,55,624.42,2020-01-11 03:35:09,Online
210,922,962,50,183,82,900.9,2015-10-19 07:23:24,Física
211,580,88,184,195,5,756.05,2020-06-19 17:22:59,Física
212,31,273,998,474,100,569.05,2014-01-18 16:29:33,Online
213,415,193,54,88,84,186.68,2017-08-02 09:06:29,Online
214,113,250,91,124,87,868.53,2019-09-29 19:31:27,Física
215,795,467,766,105,75,769.42,2019-11-05 01:23:59,Online
216,186,99,163,233,66,537.93,2015-05-09 16:23:52,Física
217,844,965,852,249,45,627.76,2020-03-26 00:19:53,Online
218,75,272,952,334,66,875.17,2014-06-14 00:47:13,Física
219,835,939,900,417,54,519.44,2020-10-10 10:07:26,Online
220,750,460,197,144,20,361.75,2015-09-28 04:04:51,Online
221,217,190,858,252,12,798.73,2016-05-04 00:00:36,Física
222,886,887,977,442,70,454.24,2014-12-31 18:42:34,Online
223,191,929,724,117,3,745.11,2016-12-28 00:34:43,Online
224,892,201,373,228,74,99.97,2020-09-01 19:31:34,Online
225,134,951,383,5,43,199.35,2021-07-30 02:21:17,Física
226,862,517,491,23,79,499.61,2017-01-12 14:34:45,Física
227,953,991,605,392,30,677.37,2019-07-27 19:43:21,Física
228,382,163,281,105,12,599.92,2019-04-23 21:00:20,Física
229,540,748,444,198,70,917.43,2018-05-29 10:20:46,Física
230,985,620,336,430,58,586.84,2018-04-02 01:07:34,Física
231,514,208,121,407,30,755.94,2015-10-05 00:36:48,Online
232,630,495,284,86,24,416.32,2015-11-21 00:10:28,Online
233,512,934,458,129,6,36.28,2017-01-23 17:45:28,Online
234,799,411,25,429,91,879.99,2019-05-02 08:25:47,Física
235,80,873,920,66,100,90.95,2020-06-04 14:09:34,Online
236,202,869,501,477,82,226.53,2016-03-02 12:20:08,Física
237,752,575,937,397,25,216.98,2019-09-10 02:48:06,Física
238,429,960,971,495,12,501.44,2017-10-06 11:16:15,Física
239,361,919,224,407,19,105.3,2014-10-31 01:05:11,Física
240,472,300,408,11,44,42.53,2017-02-08 03:27:57,Online
241,267,602,690,274,6,840.48,2017-10-06 19:44:31,Física
242,169,297,772,460,27,497.4,2015-06-20 18:43:16,Online
243,174,761,581,410,65,993.22,2021-01-09 12:20:05,Física
244,569,11,242,375,80,777.63,2015-12-07 17:45:56,Física
245,495,569,858,349,58,390.76,2017-01-06 08:45:48,Física
246,387,593,719,203,88,274.67,2018-06-22 01:46:08,Física
247,723,692,124,87,93,122.28,2016-02-22 15:41:43,Física
248,293,725,750,5,98,592.26,2016-04-29 21:05:17,Física
249,491,696,64,456,51,206.97,2020-10-02 06:21:36,Física
250,529,416,434,339,28,428.02,2017-12-26 08:32:11,Física
251,960,736,547,500,90,354.28,2016-02-05 18:25:26,Online
252,796,687,690,406,78,553.81,2016-11-15 08:15:29,Online
253,930,447,344,343,37,376.5,2014-02-07 06:24:39,Online
254,430,957,526,447,91,24.17,2020-01-13 19:33:11,Online
255,164,671,885,360,48,431.03,2018-06-14 20:32:29,Física
256,832,268,169,190,50,147.59,2015-09-16 16:52:32,Física
257,800,523,613,95,77,389.59,2015-07-09 03:45:40,Online
258,211,476,190,153,73,260.53,2015-11-13 06:09:03,Física
259,580,681,449,36,72,885.05,2014-10-13 03:10:02,Física
260,602,152,767,325,79,46.05,2014-10-07 13:23:28,Física
261,454,525,987,80,82,330.15,2021-12-15 14:25:50,Online
262,582,322,108,299,45,443.49,2019-03-19 01:56:02,Online
263,956,871,930,133,4,268.64,2021-05-13 12:52:20,Física
264,123,334,732,159,55,947.36,2021-08-15 18:54:49,Online
265,380,350,387,187,80,905.37,2014-01-13 00:03:47,Online
266,319,148,286,123,36,108.85,2020-10-07 13:00:12,Física
267,837,2,544,331,10,331.01,2014-04-30 21:00:22,Online
268,614,240,910,332,45,829.52,2014-01-30 09:09:10,Física
269,582,876,913,470,21,887.23,2019-01-20 03:31:52,Online
270,170,795,850,13,7,785.7,2014-10-07 18:30:00,Online
271,529,842,217,179,80,23.19,2014-09-15 23:11:37,Online
272,444,179,609,9,65,386.55,2014-02-23 03:58:36,Online
273,77,84,953,400,8,367.95,2020-04-27 20:29:43,Física
274,298,1,429,146,64,894.49,2021-11-06 13:31:39,Online
275,461,671,950,53,5,595.08,2016-01-02 05:24:13,Online
276,219,997,421,320,96,156.69,2014-08-04 00:59:04,Online
277,6,142,239,471,45,571.68,2014-05-28 10:51:40,Física
278,853,770,326,316,4,917.55,2019-03-22 08:34:30,Física
279,616,342,661,419,32,109.36,2016-03-21 07:55:45,Online
280,229,795,573,35,62,831.03,2019-01-31 16:59:28,Online
281,709,931,701,437,48,62.14,2015-05-24 17:20:33,Online
282,91,37,288,36,35,78.37,2021-11-15 05:31:30,Física
283,860,128,536,495,78,206.64,2020-07-05 18:34:30,Física
284,498,5,808,275,64,56.34,2015-12-05 09:23:36,Física
285,647,159,359,471,30,277.74,2019-11-05 13:49:21,Online
286,868,285,62,126,92,680.21,2018-06-18 19:50:19,Online
287,923,973,729,430,73,87.65,2021-03-31 19:17:29,Física
288,234,511,100,180,58,476.05,2020-08-26 09:26:28,Física
289,367,589,964,495,90,592.25,2019-07-30 11:37:36,Online
290,715,557,284,452,42,272.39,2020-09-23 11:06:39,Física
291,255,248,385,218,99,915.41,2021-07-31 23:41:31,Online
292,252,975,867,24,93,418.65,2020-07-13 00:48:13,Física
293,232,813,148,314,42,400.25,2017-10-10 20:31:59,Física
294,301,500,903,478,64,697.02,2020-11-13 12:03:37,Física
295,379,119,387,476,47,934.94,2014-03-04 23:03:39,Online
296,158,160,375,136,54,101.61,2021-04-09 03:15:11,Online
297,190,695,524,198,28,750.26,2021-07-05 19:48:21,Online
298,435,489,574,23,37,840.47,2015-11-04 11:28:23,Física
299,10,387,409,272,29,656.74,2015-06-15 06:34:50,Física
300,939,903,367,62,49,171.29,2020-03-02 19:56:33,Física
301,386,107,517,385,56,742.46,2021-09-14 23:32:01,Online
302,583,880,38,276,29,942.42,2018-11-17 10:33:11,Online
303,330,683,487,243,20,167.64,2020-10-08 19:57:33,Online
304,759,894,937,144,65,504.14,2015-10-02 18:46:28,Online
305,209,571,940,17,20,661.66,2020-05-23 16:04:33,Online
306,988,210,675,240,91,435.04,2021-01-16 02:03:31,Física
307,726,991,253,128,80,454.9,2014-10-08 04:18:06,Online
308,771,110,726,135,1,780.51,2020-07-01 13:16:37,Online
309,423,626,417,22,22,78.02,2014-01-05 07:56:54,Física
310,105,176,117,396,94,219.47,2021-08-22 05:47:24,Física
311,444,602,322,358,61,251.44,2014-11-12 14:56:38,Física
312,785,716,728,432,8,137.17,2019-07-18 00:37:06,Física
313,268,29,741,397,43,169.45,2018-10-23 21:27:59,Física
314,313,714,724,90,23,240.76,2014-03-10 21:52:04,Online
315,908,174,104,462,53,486.14,2018-10-20 02:18:30,Online
316,277,194,477,244,82,805.4,2021-10-13 05:07:23,Física
317,65,790,437,308,18,255.43,2016-06-10 13:58:28,Física
318,990,502,460,376,25,737.15,2015-03-08 04:56:47,Online
319,721,747,209,108,82,88.62,2021-08-13 20:18:23,Online
320,864,768,733,304,92,903.02,2015-08-22 22:16:10,Online
321,569,811,598,129,52,607.51,2014-12-01 02:09:12,Online
322,326,465,591,416,68,964.15,2017-10-04 07:51:25,Online
323,240,469,244,332,17,964.96,2018-01-11 14:26:05,Online
324,953,329,408,5,46,999.68,2016-02-07 13:00:29,Física
325,323,478,106,391,35,68.38,2014-11-07 23:42:20,Física
326,133,260,992,14,5,200.25,2020-09-07 04:27:58,Online
327,585,282,665,255,93,207.96,2018-06-12 15:15:11,Física
328,46,443,600,269,83,262.8,2019-10-09 06:51:39,Física
329,321,439,764,430,45,105.45,2019-02-12 21:13:24,Física
330,839,985,102,300,25,889.07,2016-11-14 11:18:26,Física
331,691,940,695,127,27,686.29,2017-03-07 04:18:00,Física
332,527,346,546,34,36,812.03,2019-11-04 15:52:21,Física
333,757,930,385,166,72,42.44,2021-08-17 11:04:19,Online
334,80,947,558,196,24,816.87,2017-12-15 04:16:49,Física
335,440,119,458,293,12,361.27,2018-10-22 21:47:42,Física
336,1,671,393,292,57,747.97,2017-10-01 08:36:25,Online
337,514,972,371,456,33,391.21,2020-01-12 17:59:44,Online
338,558,427,830,7,95,84.03,2018-10-05 01:55:37,Online
339,86,298,615,1,78,742.32,2016-10-05 01:49:25,Física
340,741,531,340,152,51,834.31,2017-12-04 13:20:07,Física
341,215,422,988,306,8,44.64,2017-09-25 12:47:43,Online
342,327,150,439,247,19,780.14,2017-02-26 03:16:45,Online
343,21,774,44,137,69,248.65,2019-06-14 18:45:05,Física
344,608,412,311,366,21,976.62,2015-11-16 22:34:45,Online
345,428,879,215,314,58,822.48,2019-09-04 22:46:13,Física
346,889,972,639,215,75,819.91,2019-01-30 20:17:25,Física
347,575,843,684,143,70,825.46,2017-04-12 07:53:05,Online
348,178,781,131,30,22,805.46,2016-12-28 06:42:13,Online
349,190,285,930,281,25,802.92,2019-09-08 19:15:23,Física
350,155,250,45,293,1,126.34,2021-04-26 17:42:57,Física
351,916,541,631,165,47,753.28,2014-12-23 20:20:39,Física
352,888,515,780,412,31,40.13,2016-11-13 05:55:20,Física
353,263,824,340,32,63,309.56,2015-05-16 09:16:18,Online
354,150,665,486,462,17,483.39,2017-08-15 12:31:11,Física
355,160,396,730,256,47,876.93,2021-11-18 06:17:40,Física
356,196,445,805,121,33,116.59,2020-09-12 02:47:16,Online
357,281,897,948,378,21,735.53,2020-08-10 02:06:06,Online
358,805,332,634,302,40,855.03,2016-08-04 21:23:19,Física
359,821,910,802,138,37,883.98,2019-03-08 00:14:39,Online
360,347,125,520,162,54,447.64,2018-01-12 04:54:08,Online
361,456,633,859,21,67,301.72,2017-09-22 11:32:40,Online
362,843,855,676,104,41,807.36,2015-03-19 00:43:51,Física
363,592,436,9,45,30,15.82,2014-01-25 04:27:11,Online
364,417,867,405,403,53,7.86,2014-11-05 19:28:47,Física
365,311,357,272,264,49,963.46,2019-07-16 06:22:47,Online
366,77,7,512,204,37,316.9,2016-11-19 11:45:05,Física
367,64,842,848,161,7,122.87,2021-07-28 09:38:11,Online
368,207,218,320,426,45,304.32,2015-09-04 05:19:12,Física
369,862,300,252,177,71,652.41,2016-04-23 17:12:31,Física
370,423,490,864,322,94,60.66,2020-07-25 01:13:11,Física
371,135,911,221,138,44,365.23,2020-08-02 13:55:29,Física
372,34,831,581,192,35,869.97,2018-09-16 00:00:38,Online
373,279,76,949,387,34,827.43,2015-03-03 19:18:44,Online
374,127,55,138,88,84,115.76,2019-03-15 22:21:33,Física
375,933,453,868,432,49,300.35,2016-11-23 11:56:29,Física
376,229,921,112,176,5,667.27,2020-05-22 11:15:25,Online
377,355,21,662,33,63,23.13,2014-04-18 12:56:39,Online
378,422,494,456,409,19,582.06,2018-04-11 13:33:59,Física
379,596,137,459,12,75,441.41,2016-05-22 05:29:20,Física
380,32,39,348,34,11,282.74,2015-01-06 12:33:48,Física
381,132,831,151,372,100,909.86,2014-10-21 12:15:10,Online
382,345,132,982,467,63,827.51,2014-09-13 07:10:51,Online
383,69,608,770,144,48,395.92,2020-08-03 13:47:13,Física
384,272,356,316,200,85,909.35,2014-08-13 23:38:23,Física
385,808,756,549,253,13,32.38,2015-08-27 11:26:04,Física
386,492,266,886,224,18,162.41,2017-08-21 04:20:17,Física
387,86,904,57,407,77,498.2,2020-10-31 21:12:44,Online
388,71,894,438,421,56,14.68,2020-05-26 04:52:07,Física
389,999,567,869,481,89,476.03,2019-06-22 21:47:15,Online
390,770,834,428,370,33,573.64,2018-01-27 07:49:00,Online
391,766,51,38,58,86,99.61,2020-12-08 20:56:21,Física
392,569,484,468,252,65,227.56,2014-09-21 11:38:00,Física
393,863,913,808,375,51,202.91,2015-06-25 15:26:57,Online
394,157,91,510,185,12,902.39,2018-06-15 18:31:40,Física
395,250,711,604,358,77,863.54,2015-10-25 14:02:08,Física
396,492,377,213,191,96,47.19,2016-08-31 23:45:42,Online
397,721,449,450,107,50,338.5,2018-10-06 11:27:55,Física
398,399,739,497,144,19,927.01,2014-10-25 02:01:04,Online
399,161,23,981,251,56,881.19,2017-10-26 02:19:47,Física
400,14,870,531,225,76,10.62,2014-05-15 16:27:41,Online
401,634,501,651,110,45,148.8,2020-03-22 09:10:59,Online
402,993,934,491,370,19,508.38,2020-05-17 10:05:04,Física
403,75,153,334,495,93,936.16,2014-10-13 05:45:44,Física
404,920,206,321,237,14,542.13,2016-08-08 02:06:23,Física
405,327,196,505,152,54,508.63,2017-04-14 18:34:58,Física
406,680,377,377,316,77,855.54,2019-09-08 10:56:45,Online
407,817,343,680,462,7,823.95,2017-11-26 05:19:34,Física
408,544,866,904,266,92,812.71,2019-04-16 20:01:21,Física
409,794,881,691,89,76,953.06,2017-10-22 19:43:50,Online
410,586,766,838,133,87,500.4,2019-10-05 15:21:49,Online
411,574,284,597,199,42,205.51,2018-12-03 16:32:30,Física
412,205,309,106,164,92,408.01,2020-04-12 03:49:57,Física
413,593,534,436,122,94,338.66,2019-10-30 00:10:07,Física
414,768,77,308,75,21,61.43,2016-06-07 13:45:12,Online
415,929,221,591,434,36,262.55,2018-03-05 18:00:39,Física
416,218,162,925,171,39,45.54,2021-06-30 23:17:46,Online
417,565,155,210,201,40,975.55,2018-05-08 05:17:05,Física
418,413,932,479,218,31,940.7,2015-12-25 18:35:02,Física
419,204,864,348,153,27,841.18,2014-03-07 18:24:06,Online
420,980,257,583,396,30,809.25,2020-05-20 12:12:56,Física
421,105,945,994,441,83,11.68,2021-03-14 18:12:47,Física
422,628,108,713,268,43,40.56,2021-07-28 17:59:15,Online
423,145,930,558,79,17,581.67,2016-08-05 11:40:12,Online
424,786,876,170,235,83,106.93,2015-02-05 06:43:36,Física
425,917,249,227,325,4,989.46,2021-10-18 23:15:58,Online
426,878,368,339,485,74,131.05,2014-11-03 06:50:33,Física
427,332,398,129,441,23,149.87,2020-04-28 19:18:52,Física
428,508,513,792,122,83,731.71,2015-01-16 17:42:41,Online
429,105,436,1000,114,20,897.91,2020-05-22 16:31:13,Online
430,492,124,38,399,62,621.42,2014-08-19 16:26:31,Online
431,91,482,536,113,26,551.24,2021-12-10 05:51:29,Física
432,781,823,367,8,55,745.48,2014-03-31 07:17:31,Física
433,978,222,959,440,31,653.43,2017-02-24 06:39:02,Física
