Campanha_ID,Loja_ID,Nome,Canal,Investimento,Vendas Geradas,Data de Início,Data de Fim
36,9,Alvo Impacto Rural,Google Ads,584.93,45,2023-01-10 23:04:19,2023-06-29 07:54:40
37,732,Conectada Impacto Artística,Redes Sociais,506.31,0,2020-10-13 05:54:48,2021-05-02 03:28:08
38,794,Alvo Impacto Global,Google Ads,803.26,118,2014-08-26 21:51:01,2015-08-16 09:52:31
39,412,Conectada Impacto Local,Redes Sociais,503.92,47,2023-11-26 17:49:21,2024-10-28 04:19:18
40,624,Viral Promoção Sustentável,Influenciadores,824.65,0,2017-07-29 00:40:34,2018-03-30 16:05:21
41,206,Alvo Impacto Nacional,Google Ads,539.28,23,2022-07-14 00:03:45,2022-11-28 09:18:00
42,790,Clássica Campanha Retro,TV,900.9,57,2024-04-29 00:34:40,2024-08-14 02:20:05
43,179,Direta Impacto Gourmet,Email Marketing,216.74,50,2017-10-04 11:05:39,2018-03-28 22:36:46
44,343,Alvo Campanha Tradicional,Google Ads,990.33,24,2017-03-02 13:03:14,2017-07-04 06:41:21
45,202,Alvo Promoção De Luxo,Google Ads,587.33,0,2024-06-26 13:31:16,2024-08-09 02:40:26
46,179,Alvo Impacto Gourmet,Google Ads,809.06,24,2019-01-03 21:23:22,2019-03-05 21:20:56
47,713,Viral Promoção Retro,Influenciadores,959.21,0,2018-11-04 19:54:34,2019-03-11 11:27:18
48,198,Viral Impacto Digital,Influenciadores,725.07,109,2024-03-29 06:27:47,2025-03-11 19:21:58
49,401,Direta Campanha De Luxo,Email Marketing,764.44,57,2014-03-22 17:20:09,2014-10-23 19:16:01
50,306,Conectada Impacto Gourmet,Redes Sociais,987.61,0,2014-01-16 01:51:40,2014-03-10 18:02:33
51,633,Clássica Promoção Rural,TV,585.74,26,2016-02-23 10:05:54,2016-04-07 14:43:43
52,744,Conectada Promoção Gourmet,Redes Sociais,859.76,96,2015-04-07 08:40:19,2016-01-23 09:31:04
53,579,Conectada Campanha Nacional,Redes Sociais,513.96,135,2014-05-04 19:14:04,2014-12-20 01:44:48
54,926,Direta Impacto Global,Email Marketing,869.62,164,2022-01-21 01:20:00,2022-09-04 15:01:52
55,263,Alvo Promoção Global,Google Ads,336.61,165,2017-01-15 00:00:30,2017-12-02 01:36:39
56,600,Direta Promoção Cultural,Email Marketing,960.21,50,2017-05-12 03:15:21,2018-04-03 19:29:08
57,385,Clássica Impacto Digital,TV,696.12,0,2024-12-31 20:14:08,2025-10-27 02:11:29
58,766,Direta Campanha Gourmet,Email Marketing,680.91,0,2023-03-06 03:12:36,2023-12-05 23:19:39
59,31,Conectada Campanha Contemporânea,Redes Sociais,256.96,46,2024-09-15 12:54:36,2025-09-11 20:21:15
60,240,Conectada Campanha Local,Redes Sociais,380.65,154,2017-01-05 12:53:50,2017-07-10 12:46:30
61,214,Clássica Campanha Contemporânea,TV,499.36,146,2021-01-22 06:15:08,2022-01-01 03:48:07
62,482,Direta Promoção Sustentável,Email Marketing,608.22,0,2019-01-31 14:16:51,2019-11-29 21:11:21
63,2,Conectada Promoção Ecológica,Redes Sociais,367.35,2,2014-11-23 11:20:32,2015-11-01 10:30:36
64,782,Conectada Impacto Contemporânea,Redes Sociais,230.19,0,2014-07-02 09:30:25,2014-08-02 12:00:44
65,65,Direta Campanha Cultural,Email Marketing,819.52,107,2020-11-29 13:30:24,2021-10-13 16:43:52
66,180,Conectada Impacto Fitness,Redes Sociais,544.11,35,2014-07-08 12:52:58,2014-11-04 13:08:15
67,103,Alvo Promoção Artística,Google Ads,960.41,92,2022-08-25 13:15:27,2023-04-16 17:52:35
68,296,Conectada Campanha Familiar,Redes Sociais,683.06,0,2016-08-07 12:40:32,2016-12-09 09:59:35
69,345,Viral Promoção Rural,Influenciadores,347.88,96,2015-06-21 13:31:27,2016-03-03 06:21:40
70,930,Alvo Impacto Artística,Google Ads,874.25,56,2017-02-21 11:33:59,2017-09-26 18:45:44
71,347,Clássica Campanha Familiar,TV,504.11,18,2019-09-16 03:54:07,2020-05-06 00:00:47
72,820,Conectada Impacto Tradicional,Redes Sociais,530.38,0,2018-02-05 22:31:57,2018-08-25 22:35:36
73,618,Clássica Promoção Contemporânea,TV,717.39,26,2016-05-09 09:38:20,2017-04-23 15:58:05
74,16,Clássica Campanha Desportiva,TV,380.06,29,2020-06-17 05:06:20,2021-02-14 08:49:14
75,891,Viral Campanha Clássica,Influenciadores,331.69,0,2020-02-14 10:14:03,2020-08-15 08:49:54
76,464,Conectada Campanha Artística,Redes Sociais,268.97,183,2015-01-04 00:09:45,2015-08-01 19:26:59
77,157,Clássica Impacto Tradicional,TV,621.63,114,2019-01-11 21:43:11,2019-07-07 03:19:13
78,59,Viral Campanha Digital,Influenciadores,481.43,0,2019-09-02 18:54:18,2020-01-14 09:17:48
79,619,Alvo Campanha De Luxo,Google Ads,646.77,0,2021-12-05 22:22:34,2022-04-07 11:20:12
80,362,Conectada Campanha Contemporânea,Redes Sociais,972.37,0,2022-03-13 12:57:00,2022-07-19 04:52:55
81,797,Viral Campanha Online,Influenciadores,982.05,152,2020-01-22 11:07:47,2020-09-26 00:12:27
82,555,Viral Promoção Local,Influenciadores,396.58,0,2021-05-27 08:16:22,2021-12-25 21:08:55
83,446,Alvo Impacto Fitness,Google Ads,654.04,0,2021-06-14 00:14:05,2021-09-01 14:25:02
84,234,Viral Impacto Retro,Influenciadores,926.32,0,2014-05-04 18:21:33,2014-06-15 12:00:43
85,553,Clássica Impacto Local,TV,979.45,0,2019-02-08 21:03:43,2019-04-17 23:41:30
86,666,Clássica Impacto Tradicional,TV,769.46,0,2024-08-19 04:43:16,2025-01-08 05:46:48
87,187,Alvo Impacto Rural,Google Ads,935.63,0,2020-04-22 14:44:11,2020-10-17 12:41:32
88,303,Viral Promoção Gourmet,Influenciadores,463.44,0,2023-09-27 15:21:00,2024-07-16 18:45:36
89,784,Viral Campanha Inovação,Influenciadores,416.43,12,2016-02-06 01:44:50,2016-04-02 21:54:02
90,75,Alvo Promoção Global,Google Ads,828.35,90,2021-01-25 05:02:14,2021-08-31 00:18:14
91,239,Conectada Promoção Familiar,Redes Sociais,388.31,36,2021-04-14 20:44:29,2021-07-31 02:41:50
92,541,Alvo Campanha Gourmet,Google Ads,386.28,100,2017-06-23 11:22:23,2017-07-20 22:13:33
93,733,Viral Campanha Retro,Influenciadores,355.98,0,2022-07-27 18:09:32,2023-01-17 16:06:18
94,197,Alvo Campanha Ecológica,Google Ads,352.39,0,2016-12-17 02:47:15,2017-01-26 08:08:57
95,89,Clássica Promoção Nacional,TV,236.18,0,2022-09-12 18:47:42,2022-12-07 14:16:36
96,747,Conectada Campanha Cultural,Redes Sociais,575.26,170,2018-02-18 23:27:06,2018-11-02 12:11:46
97,242,Conectada Impacto Global,Redes Sociais,955.37,0,2020-09-22 07:30:48,2020-10-10 05:57:43
98,182,Conectada Impacto Cultural,Redes Sociais,635.1,26,2017-11-15 12:21:30,2018-02-05 09:45:00
99,348,Clássica Campanha Ecológica,TV,983.94,0,2018-03-12 12:39:29,2018-07-29 18:36:28
100,163,Alvo Impacto Tecnológica,Google Ads,973.37,108,2022-12-13 22:28:08,2023-06-25 18:49:04
101,8,Clássica Promoção Tecnológica,TV,814.95,0,2020-04-26 03:00:47,2020-08-09 20:42:01
102,429,Viral Campanha Digital,Influenciadores,452.94,0,2016-09-10 01:21:21,2016-10-22 02:47:01
103,991,Direta Impacto Tradicional,Email Marketing,923.86,81,2015-07-01 11:00:08,2016-02-20 22:41:20
104,111,Alvo Promoção Digital,Google Ads,355.51,63,2014-11-17 16:24:24,2015-04-16 20:37:24
105,530,Direta Promoção Sustentável,Email Marketing,547.42,56,2021-04-21 19:47:26,2021-12-04 01:58:34
106,303,Alvo Campanha Global,Google Ads,356.31,5,2020-11-23 06:46:10,2021-07-27 01:16:56
107,547,Viral Impacto Desportiva,Influenciadores,360.02,18,2024-05-30 02:28:27,2025-04-13 21:06:32
108,772,Alvo Campanha Gourmet,Google Ads,316.77,0,2024-06-22 01:50:45,2024-08-09 13:38:43
109,157,Direta Impacto Nacional,Email Marketing,320.75,0,2018-06-29 15:18:37,2018-09-10 09:59:02
110,511,Direta Impacto Familiar,Email Marketing,761.54,0,2016-03-13 15:09:35,2016-07-20 00:30:24
111,758,Viral Impacto Inovação,Influenciadores,502.59,409,2020-02-05 17:30:40,2020-12-11 16:00:16
112,202,Viral Campanha Clássica,Influenciadores,820.94,0,2019-09-01 18:10:42,2020-07-05 07:08:00
113,178,Clássica Campanha Local,TV,704.64,0,2023-01-08 22:07:19,2023-03-16 09:08:00
114,640,Direta Campanha De Luxo,Email Marketing,555.75,180,2020-01-27 19:27:37,2021-01-16 00:38:06
115,633,Direta Promoção Clássica,Email Marketing,227.72,0,2021-07-25 23:52:13,2021-08-10 03:31:40
116,252,Clássica Promoção Cultural,TV,443.28,0,2016-01-01 02:20:23,2016-05-31 14:34:47
117,680,Clássica Campanha Artística,TV,642.23,71,2022-05-20 09:27:33,2022-11-08 23:49:31
118,938,Direta Promoção Tradicional,Email Marketing,670.21,65,2024-12-03 01:43:21,2025-05-16 07:06:59
119,961,Direta Campanha Tradicional,Email Marketing,678.72,198,2015-10-04 17:35:28,2016-05-29 03:04:17
120,697,Viral Campanha Vintage,Influenciadores,443.31,0,2021-02-13 13:48:37,2021-02-28 19:40:22
121,184,Alvo Promoção Urbana,Google Ads,573.38,0,2018-07-31 09:08:47,2018-12-03 09:58:34
122,829,Viral Impacto Fitness,Influenciadores,368.57,348,2015-12-23 12:40:10,2016-11-23 16:36:25
123,894,Clássica Impacto Tradicional,TV,203.3,89,2021-01-07 01:28:29,2021-07-18 06:20:44
124,255,Clássica Promoção Global,TV,504.58,0,2015-09-25 04:12:57,2015-10-28 19:52:47
125,315,Viral Campanha Digital,Influenciadores,980.16,84,2017-10-24 03:19:42,2018-06-22 03:35:13
126,465,Viral Promoção Fitness,Influenciadores,708.26,0,2015-12-15 13:16:38,2016-01-01 13:05:12
127,128,Clássica Promoção Tecnológica,TV,394.3,0,2022-11-02 01:10:56,2023-04-17 06:14:16
128,832,Viral Impacto Fitness,Influenciadores,957.86,178,2021-11-13 14:56:03,2022-10-31 22:52:53
129,340,Viral Impacto Sustentável,Influenciadores,728.25,124,2015-06-13 02:58:03,2015-10-20 21:47:24
130,228,Direta Impacto Sustentável,Email Marketing,799.1,0,2018-09-12 08:06:27,2019-07-22 15:24:24
131,835,Alvo Impacto De Luxo,Google Ads,581.56,208,2019-05-29 18:17:59,2020-05-01 03:13:56
132,859,Viral Impacto Retro,Influenciadores,865.84,57,2014-10-14 10:06:14,2015-01-21 06:40:19
133,65,Clássica Campanha Urbana,TV,320.65,120,2021-02-26 05:45:46,2021-12-13 02:03:48
134,294,Conectada Campanha Tecnológica,Redes Sociais,607.84,0,2017-09-16 01:42:47,2018-04-13 15:03:08
135,447,Viral Promoção Digital,Influenciadores,748.17,0,2016-08-08 18:11:33,2016-11-08 00:25:44
136,22,Conectada Campanha Tecnológica,Redes Sociais,872.84,0,2018-03-06 10:51:19,2018-04-04 22:37:00
137,903,Conectada Impacto Tecnológica,Redes Sociais,656.87,53,2021-05-29 08:46:30,2021-10-26 16:03:46
138,968,Clássica Campanha Digital,TV,361.04,142,2015-05-14 06:49:28,2016-04-06 01:21:14
139,963,Conectada Campanha Tradicional,Redes Sociais,819.32,4,2018-08-13 06:45:16,2018-12-17 09:43:53
140,582,Alvo Campanha Inovação,Google Ads,369.13,0,2017-04-27 22:09:47,2017-11-29 05:59:29
141,589,Clássica Promoção Sustentável,TV,352.03,75,2020-01-04 19:51:01,2020-12-13 15:52:20
142,625,Conectada Impacto Retro,Redes Sociais,772.4,58,2021-11-04 11:37:07,2022-05-07 05:48:05
143,588,Clássica Campanha Inovação,TV,683.71,0,2015-09-15 20:41:43,2016-06-24 14:14:37
144,134,Alvo Promoção Artística,Google Ads,227.58,0,2019-09-16 06:18:42,2020-07-26 13:49:31
145,225,Conectada Campanha Digital,Redes Sociais,591.81,0,2021-04-25 22:14:33,2021-08-18 09:08:43
146,147,Conectada Promoção Digital,Redes Sociais,409.6,120,2016-07-31 07:51:37,2017-06-13 02:14:13
147,789,Clássica Impacto Ecológica,TV,477.69,185,2021-10-22 06:38:09,2022-04-24 09:40:26
148,226,Direta Campanha Nacional,Email Marketing,222.75,0,2022-01-27 23:11:11,2022-04-09 06:25:03
149,470,Alvo Promoção Urbana,Google Ads,925.48,136,2015-01-07 06:54:04,2015-04-14 20:55:05
150,108,Conectada Impacto Clássica,Redes Sociais,608.03,106,2023-03-30 08:29:55,2023-07-24 01:03:25
151,370,Conectada Campanha Desportiva,Redes Sociais,228.72,57,2024-04-19 21:45:28,2024-11-28 12:03:05
152,488,Clássica Impacto Tradicional,TV,275.88,0,2021-05-19 06:36:25,2021-12-16 08:37:06
153,76,Viral Impacto Tecnológica,Influenciadores,455.7,154,2016-05-05 08:11:24,2017-02-22 00:53:30
154,241,Conectada Campanha Desportiva,Redes Sociais,821.66,0,2015-08-31 15:54:35,2016-02-17 00:03:08
155,140,Viral Promoção Gourmet,Influenciadores,354.84,45,2014-07-25 21:07:20,2014-12-04 17:48:09
156,827,Viral Impacto Inovação,Influenciadores,660.68,0,2018-03-28 20:52:56,2018-06-07 09:40:06
157,495,Alvo Promoção Sustentável,Google Ads,245.15,0,2021-02-13 13:32:12,2021-05-07 08:03:13
158,575,Alvo Campanha Urbana,Google Ads,539.32,0,2024-11-25 11:08:24,2025-02-18 17:04:15
159,327,Direta Impacto Sustentável,Email Marketing,370.45,278,2019-06-18 23:37:27,2019-12-31 00:41:28
160,945,Conectada Promoção Nacional,Redes Sociais,508.4,0,2022-01-07 16:19:28,2022-07-14 18:55:07
161,8,Conectada Promoção Desportiva,Redes Sociais,553.61,87,2023-07-25 07:16:46,2024-04-02 14:32:51
162,904,Viral Impacto Sustentável,Influenciadores,248.8,15,2022-05-21 13:41:29,2022-09-15 16:39:02
163,88,Conectada Campanha Retro,Redes Sociais,900.61,14,2020-06-26 20:49:28,2021-05-12 13:08:31
164,431,Alvo Campanha Digital,Google Ads,625.33,0,2014-06-08 04:44:12,2014-11-03 14:44:09
165,946,Direta Campanha Urbana,Email Marketing,588.0,93,2019-03-23 07:51:24,2019-11-12 22:20:22
166,503,Direta Promoção De Luxo,Email Marketing,854.08,0,2023-03-04 18:16:35,2023-07-31 10:39:43
167,942,Clássica Campanha De Luxo,TV,255.09,67,2017-02-11 07:10:39,2017-09-21 22:58:48
168,449,Conectada Promoção Local,Redes Sociais,389.19,5,2016-11-04 17:14:54,2017-07-03 05:03:42
169,693,Direta Campanha Urbana,Email Marketing,416.01,0,2024-11-28 10:54:23,2024-12-17 21:02:09
170,58,Clássica Impacto Digital,TV,310.34,66,2019-12-16 14:18:06,2020-10-07 18:19:24
171,332,Alvo Promoção Online,Google Ads,423.44,96,2016-08-27 13:31:13,2017-01-23 07:28:18
172,299,Viral Impacto Digital,Influenciadores,592.43,79,2021-01-16 15:59:55,2021-11-07 01:19:02
173,780,Direta Impacto Local,Email Marketing,774.11,0,2024-11-02 13:57:14,2024-11-17 22:57:35
174,443,Clássica Campanha Fitness,TV,996.9,99,2023-06-25 03:35:53,2024-02-12 12:14:13
175,913,Direta Promoção Tradicional,Email Marketing,353.68,115,2019-10-30 17:09:03,2020-09-12 03:24:43
176,547,Conectada Campanha Local,Redes Sociais,555.8,0,2018-06-22 01:08:10,2019-06-02 16:30:05
177,587,Alvo Campanha Retro,Google Ads,361.83,189,2021-08-11 17:26:15,2022-05-22 08:26:29
178,916,Clássica Promoção Contemporânea,TV,337.11,68,2020-04-23 20:44:23,2020-12-16 11:09:19
179,888,Viral Promoção Fitness,Influenciadores,928.77,0,2020-04-26 22:05:26,2020-06-09 15:23:27
180,323,Viral Promoção Vintage,Influenciadores,604.32,75,2019-03-09 19:44:21,2020-01-15 21:42:31
181,414,Viral Impacto Familiar,Influenciadores,925.89,15,2022-11-11 15:07:34,2023-05-05 17:22:23
182,684,Alvo Promoção Ecológica,Google Ads,666.95,10,2018-01-10 02:32:29,2018-07-18 03:19:55
183,798,Alvo Campanha Urbana,Google Ads,695.97,0,2017-02-27 02:04:33,2017-11-04 16:14:07
184,274,Viral Impacto Contemporânea,Influenciadores,612.69,0,2016-06-26 03:01:19,2016-10-30 06:07:39
185,262,Conectada Impacto Cultural,Redes Sociais,654.94,84,2022-11-30 13:54:02,2023-07-18 16:39:09
186,79,Direta Promoção Sustentável,Email Marketing,292.13,59,2022-03-11 11:27:41,2022-07-02 18:00:59
187,204,Direta Campanha Fitness,Email Marketing,450.83,0,2018-07-12 02:03:13,2019-05-11 15:56:04
188,832,Conectada Impacto Online,Redes Sociais,354.83,89,2015-09-27 14:23:41,2016-07-11 01:46:05
189,425,Clássica Campanha Clássica,TV,385.01,0,2023-05-30 06:29:30,2023-08-03 13:11:55
190,694,Alvo Promoção Sustentável,Google Ads,531.33,0,2024-12-15 09:58:09,2025-04-25 11:11:08
191,279,Viral Campanha Desportiva,Influenciadores,915.34,0,2024-06-11 01:26:38,2024-07-29 22:55:12
192,898,Conectada Impacto Fitness,Redes Sociais,687.76,95,2014-08-31 04:11:21,2015-02-01 16:15:38
193,564,Conectada Promoção Global,Redes Sociais,202.17,105,2014-09-20 19:07:17,2015-02-25 14:27:46
194,669,Alvo Campanha De Luxo,Google Ads,435.46,127,2016-05-27 00:31:17,2017-04-25 04:13:17
195,186,Alvo Promoção Rural,Google Ads,626.71,42,2014-04-26 08:42:30,2015-02-11 03:26:12
196,819,Alvo Promoção Contemporânea,Google Ads,840.82,0,2015-05-13 07:03:42,2016-04-14 11:48:06
197,912,Viral Campanha Tecnológica,Influenciadores,845.85,0,2017-03-27 15:07:13,2017-05-26 19:10:43
198,339,Direta Campanha Ecológica,Email Marketing,962.47,0,2024-02-13 22:49:07,2024-08-29 04:22:53
199,570,Viral Promoção Clássica,Influenciadores,986.33,268,2017-10-13 05:37:00,2018-08-12 03:15:39
200,501,Conectada Impacto Desportiva,Redes Sociais,858.47,0,2016-11-03 06:14:24,2017-03-02 17:09:59
201,605,Viral Impacto Sustentável,Influenciadores,815.28,0,2021-01-18 23:43:12,2021-04-12 09:52:51
202,730,Direta Impacto Contemporânea,Email Marketing,859.55,0,2019-07-08 08:50:30,2019-10-14 23:42:40
203,882,Conectada Campanha Artística,Redes Sociais,409.86,0,2014-02-22 07:50:40,2014-08-14 22:10:31
204,847,Alvo Promoção Global,Google Ads,445.62,1,2018-04-09 04:06:45,2018-08-09 18:47:10
205,288,Conectada Impacto Rural,Redes Sociais,472.93,0,2016-12-21 16:56:23,2017-01-15 01:24:59
206,190,Clássica Campanha Urbana,TV,990.87,4,2024-06-17 21:00:52,2025-04-21 03:22:47
207,572,Clássica Promoção Local,TV,773.98,3,2017-05-03 17:58:53,2018-03-08 03:36:23
208,451,Clássica Impacto Inovação,TV,254.78,81,2023-07-02 18:54:03,2023-08-10 21:52:23
209,274,Conectada Promoção Local,Redes Sociais,870.44,0,2024-11-18 03:18:38,2025-11-05 22:17:48
210,365,Viral Impacto Vintage,Influenciadores,596.45,0,2018-04-12 20:57:00,2019-01-20 12:40:46
211,892,Conectada Impacto Tecnológica,Redes Sociais,415.21,0,2019-05-28 01:22:00,2020-01-16 21:40:38
212,292,Alvo Impacto Urbana,Google Ads,333.84,0,2022-08-11 10:15:04,2023-02-26 05:24:40
213,693,Conectada Promoção Clássica,Redes Sociais,448.84,60,2020-12-23 11:16:16,2021-09-07 16:19:40
214,184,Viral Campanha Fitness,Influenciadores,232.94,0,2023-07-05 00:18:17,2024-05-21 08:51:47
215,568,Alvo Impacto Contemporânea,Google Ads,582.08,0,2024-02-18 09:05:02,2025-01-21 10:03:05
216,616,Viral Promoção Local,Influenciadores,374.99,26,2023-08-26 05:55:45,2023-09-22 10:49:53
217,670,Direta Impacto Desportiva,Email Marketing,946.8,0,2024-03-30 10:36:00,2024-06-29 08:24:38
218,66,Clássica Impacto Ecológica,TV,219.21,0,2024-05-02 11:31:40,2025-03-22 21:13:41
219,163,Clássica Impacto De Luxo,TV,912.59,147,2021-08-14 23:00:16,2022-02-15 14:59:25
220,494,Direta Impacto Local,Email Marketing,503.4,192,2016-01-22 04:17:56,2016-11-12 12:41:53
221,598,Direta Campanha Global,Email Marketing,815.28,65,2022-07-10 05:10:46,2022-12-07 18:48:22
222,445,Clássica Campanha Vintage,TV,724.79,0,2017-06-25 10:18:53,2017-08-14 02:55:48
223,353,Direta Impacto Tecnológica,Email Marketing,691.03,0,2014-10-07 13:07:50,2014-11-15 20:20:54
224,161,Conectada Campanha Online,Redes Sociais,251.39,0,2020-03-22 11:13:26,2020-07-15 06:02:20
225,34,Conectada Promoção Nacional,Redes Sociais,400.27,96,2018-07-30 11:04:43,2019-07-16 01:25:02
226,41,Viral Impacto Rural,Influenciadores,256.16,152,2019-02-17 10:43:50,2020-02-08 00:15:34
227,795,Alvo Campanha Nacional,Google Ads,379.7,0,2015-02-04 19:32:15,2015-06-06 12:59:28
228,897,Clássica Impacto Rural,TV,347.69,0,2014-06-20 21:55:50,2014-12-06 01:58:13
229,332,Viral Promoção Gourmet,Influenciadores,954.29,0,2020-08-24 14:36:25,2021-05-01 18:50:27
230,527,Alvo Impacto Global,Google Ads,684.26,58,2019-10-14 13:23:11,2020-09-22 03:58:42
231,749,Direta Impacto Urbana,Email Marketing,317.21,42,2014-12-27 21:21:23,2015-06-29 12:38:39
232,805,Viral Impacto Rural,Influenciadores,679.06,64,2018-07-21 17:54:57,2018-11-17 05:52:41
233,420,Direta Impacto Inovação,Email Marketing,421.45,59,2018-06-15 10:40:08,2018-12-14 14:23:54
234,787,Alvo Campanha Urbana,Google Ads,500.56,40,2024-01-02 06:44:18,2024-07-23 03:24:21
235,278,Viral Promoção Inovação,Influenciadores,392.76,0,2018-10-23 01:21:49,2018-11-25 06:48:13
236,982,Viral Campanha Retro,Influenciadores,749.54,0,2016-06-04 17:50:49,2016-12-25 17:15:03
237,191,Conectada Promoção Global,Redes Sociais,271.7,120,2018-02-28 00:44:34,2018-09-21 04:51:04
238,241,Direta Campanha Ecológica,Email Marketing,216.95,0,2017-10-26 00:12:20,2018-06-29 12:14:03
239,422,Viral Campanha Vintage,Influenciadores,926.31,180,2017-06-24 04:10:17,2017-11-04 22:44:42
240,839,Viral Impacto Ecológica,Influenciadores,764.12,0,2023-10-15 13:55:48,2024-03-29 09:06:44
241,875,Alvo Impacto Artística,Google Ads,571.46,0,2020-04-05 16:02:23,2020-05-15 02:33:15
242,839,Clássica Impacto Urbana,TV,882.32,24,2022-03-14 05:29:55,2022-11-28 00:58:33
243,632,Clássica Campanha Clássica,TV,882.83,76,2023-02-25 03:06:34,2023-07-29 23:27:10
244,314,Clássica Impacto Inovação,TV,308.7,0,2016-03-27 22:14:45,2016-04-17 05:05:43
245,996,Viral Promoção Familiar,Influenciadores,936.54,0,2016-12-28 12:37:49,2017-02-20 21:10:00
246,977,Viral Promoção Digital,Influenciadores,810.86,0,2021-12-24 22:59:02,2022-02-16 05:55:29
247,600,Direta Campanha Fitness,Email Marketing,293.52,18,2016-07-29 03:47:13,2016-11-15 18:04:32
248,296,Alvo Promoção Clássica,Google Ads,892.85,51,2020-07-27 20:37:53,2020-11-27 20:00:28
249,230,Conectada Campanha Digital,Redes Sociais,631.16,18,2022-03-03 17:51:22,2022-05-12 06:36:46
250,372,Clássica Impacto Nacional,TV,506.26,57,2017-11-29 06:48:46,2018-05-30 10:14:59
251,738,Direta Promoção Tecnológica,Email Marketing,645.97,224,2014-11-15 07:05:55,2015-09-27 15:59:41
252,220,Alvo Promoção Vintage,Google Ads,709.0,142,2017-11-08 16:22:55,2018-08-10 20:46:54
253,262,Alvo Campanha Retro,Google Ads,229.43,84,2022-11-23 21:46:28,2023-11-21 21:51:19
